code	image 1	image 2
vdayhotpinkroses-qty	store/pink-valentines-day-roses-globalrose-2.jpg	store/pink-valentines-day-roses-globalrose.jpg
vdayredroses-qty	store/red-valentines-day-roses-globalrose-2.jpg	store/red-valentines-day-roses-globalrose.jpg
vday-orange-roses-qty	store/orange-roses-for-valentines-day-globalrose-2.jpg	store/orange-roses-for-valentines-day-globalrose.jpg
vday-pink-roses-qty	store/valentines-day-pink-roses-globalrose-2.jpg	store/valentines-day-pink-roses-globalrose.jpg
vdaywhiteroses-qty	store/white-roses-for-valentines-day-globalrose-2.jpg	store/white-roses-for-valentines-day-globalrose.jpg
vdayyellowroses-qty	store/bright-yellow-roses-globalrose-2.jpg	store/bright-yellow-roses-globalrose.jpg
vendela-qty	store/ivory-vendela-roses-globalrose-2.jpg	store/ivory-vendela-roses-globalrose.jpg
wild-one-qty	store/dark-fuchsia-roses-globalrose-2.jpg	store/dark-fuchsia-roses-globalrose.jpg
wow-qty	store/salmon-rose-globalrose-2.jpg	store/salmon-rose-globalrose.jpg
yellowbikini-qty	store/pure-yellow-roses-globalrose-2.jpg	store/pure-yellow-roses-globalrose.jpg
yokohama-qty	store/big-light-yellow-roses-globalrose-2.jpg	store/big-light-yellow-roses-globalrose.jpg
